type,title,director,cast,country,rating,duration,listed_in,year_added
Movie,The Saint,Ernie Barbarash,"Adam Rayner, Eliza Dushku, Ian Ogilvy, James Remar, Roger Moore, Enrique Murciano, Thomas Kretschmann, Beatrice Rosen, Greg Grunberg, Yani Gellman",United States,TV-14,92,Action & Adventure,2017.0
Movie,Baahubali 2: The Conclusion (Hindi Version),S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Subbaraju",India,TV-MA,165,"Action & Adventure, Dramas, International Movies",2017.0
Movie,Baahubali 2: The Conclusion (Malayalam Version),S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Subbaraju",Unknown,TV-14,166,"Action & Adventure, Dramas, International Movies",2017.0
Movie,Baahubali 2: The Conclusion (Tamil Version),S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Subbaraju",Unknown,TV-MA,166,"Action & Adventure, Dramas, International Movies",2017.0
Movie,Baahubali: The Beginning (Hindi Version),S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",India,TV-14,159,"Action & Adventure, Dramas, International Movies",2017.0
Movie,Baahubali: The Beginning (Malayalam Version),S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",Unknown,TV-14,160,"Action & Adventure, Dramas, International Movies",2017.0
Movie,Baahubali: The Beginning (Tamil Version),S.S. Rajamouli,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Nassar, Ramya Krishnan, Sudeep",Unknown,TV-14,159,"Action & Adventure, Dramas, International Movies",2017.0
Movie,LEGO Marvel Super Heroes: Avengers Reassembled!,Rob Silvestri,"Laura Bailey, Troy Baker, Eric Bauza, Ben Diskin, Grant George, JP Karliak, Jim Meskimen, Bumper Robinson, Roger Craig Smith, Fred Tatasciore, Travis Willingham, Mick Wingert",United States,TV-Y7,22,Children & Family Movies,2017.0
Movie,Enter the Warriors Gate,Matthias Hoene,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni","France, Canada, China, Cambodia",PG-13,105,"Action & Adventure, International Movies, Sci-Fi & Fantasy",2017.0
Movie,Alan Saldaña: Mi vida de pobre,"Raúl Campos, Jan Suter",Alan Saldaña,Mexico,TV-MA,54,Stand-Up Comedy,2017.0
Movie,Icarus,Bryan Fogel,"Bryan Fogel, Grigory Rodchenkov",United States,TV-MA,121,"Documentaries, Sports Movies",2017.0
Movie,Message from the King,Fabrice Du Welz,"Chadwick Boseman, Luke Evans, Teresa Palmer, Alfred Molina, Natalie Martinez, Tom Felton, Dale Dickey, Sibongile Mlambo","United Kingdom, France, Belgium, United States",R,103,"Independent Movies, Thrillers",2017.0
TV Show,Wet Hot American Summer: Ten Years Later,Unknown,"Elizabeth Banks, Lake Bell, H. Jon Benjamin, Michael Ian Black, Sarah Burns, Josh Charles, Jai Courtney, Beth Dover, John Early, Mark Feuerstein, Janeane Garofalo, Skyler Gisondo, Nina Hellman, Samm Levine, Joe Lo Truglio, Ken Marino, Christopher Meloni, Alyssa Milano, A.D. Miles, Marguerite Moreau, Eric Nenninger, Zak Orth, David Hyde Pierce, Chris Pine, Amy Poehler, Paul Rudd, Jason Schwartzman, Adam Scott, Molly Shannon, Michael Showalter, Rich Sommer, David Wain, Kristen Wiig",United States,TV-MA,1 Season,TV Comedies,2017.0
Movie,The Invisible Guardian,Fernando González Molina,"Marta Etura, Elvira Mínguez, Francesc Orella, Itziar Aizpuru, Nene, Miquel Fernández, Pedro Casablanc, Colin McFarlane, Benn Northover","Spain, Germany",TV-MA,129,"International Movies, Thrillers",2017.0
TV Show,Bountiful Blessings,Unknown,"Jessica Hsuan, Tay Ping Hui, Thomas Ong, Jeffrey Xu, Ya Hui, Ann Kok, Zhu Houren, Yao Wenlong",Singapore,TV-14,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2017.0
TV Show,Close Your Eyes Before It’s Dark,Unknown,"Bryan Shu-Hao Chang, Jian Man-shu, Yen Tsao, Sun Ke-fang, Allen Chen, Jake Hsu, Chu Sheng-ping, Blue Lan",Taiwan,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2017.0
TV Show,Entangled,Unknown,"Thomas Ong, Jack Tan, Margaret Wang, Kate Pang, Huang Qi Ming, Aileen Tan, Rayson Tan, Zhang Shui Fa",South Korea,TV-14,1 Season,"International TV Shows, TV Dramas",2017.0
TV Show,Fartsa,Unknown,"Alexander Petrov, Fillip Gorenshtein, Maksim Emelyanov, Aleksey Vesyolkin, Zoya Berber, Ieva Andrejevaite",Russia,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2017.0
Movie,Handsome Devil,John Butler,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Michael McElhatton, Moe Dunford, Ruairí O'Connor, Jay Duffy, Mark Lavery, Jamie Hallahan, Ardal O'Hanlon, Amy Huberman",Ireland,TV-MA,95,"Comedies, Dramas, International Movies",2017.0
TV Show,"Have You Ever Fallen in Love, Miss Jiang?",Unknown,"Lan Cheng-lung, Esther Yeh, He Yu-chen, Greg Han",Unknown,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",2017.0
